segment,geo,subsegment,metric,2020,2021,2022,2023,2024,2025
Property & Casualty,US,Private Passenger Auto,Net premiums written (USD bn),243.7,252.9,268.0,306.6,,
Property & Casualty,US,Commercial Auto,Net premiums written (USD bn),39.9,46.6,51.7,55.8,,
Property & Casualty,US,Homeowners,Net premiums written (USD bn),97.0,103.4,113.9,128.0,,
Property & Casualty,US,Workers Compensation,Net premiums written (USD bn),42.5,43.1,47.5,48.0,,
Property & Casualty,US,Other/General Liability,Net premiums written (USD bn),69.4,84.6,94.2,95.6,,
Property & Casualty,US,Commercial Multi-Peril,Net premiums written (USD bn),41.0,43.7,48.4,54.6,,
Property & Casualty,US,Commercial Property - Fire,Net premiums written (USD bn),13.2,15.6,16.5,21.0,,
Property & Casualty,US,Commercial Property - Allied Lines,Net premiums written (USD bn),13.2,14.8,15.7,19.4,,
Property & Casualty,US,Commercial Property - Fire + Allied (combined),Net premiums written (USD bn),26.4,30.3,32.1,40.4,,
Property & Casualty,US,Inland Marine,Net premiums written (USD bn),14.9,17.6,21.2,22.7,,
Property & Casualty,US,Medical Professional Liability,Net premiums written (USD bn),9.0,10.0,10.6,11.0,,
Property & Casualty,US,Cyber,Direct premiums written (USD bn),2.8,4.8,7.3,7.2,7.1,
