Rank,Company,Type,RevenueUsdBillions
1,Toyota,Public,305.78
2,Honda,Public,142.45
3,Mitsubishi Corporation,Public,133.59
4,Itochu,Public,95.76
5,ENEOS Holdings,Public,94.55
6,NTT,Public,91.18
7,"Mitsui & Co.",Public,91.00
8,Sony Group,Public,90.14
9,Nissan Motor,Public,86.45
10,Japan Post Holdings,Public,81.58
11,7-Eleven / Seven & i,Public,79.79
12,Nippon Life Insurance,Private,72.18
13,Dai-ichi Life Holdings,Public,71.38
14,Toyota Tsusho,Public,69.53
15,Hitachi,Public,66.28
16,Aeon,Public,65.54
17,Nippon Steel,Public,60.51
18,Idemitsu Kosan,Public,59.48
19,Panasonic Holdings,Public,57.97
20,Marubeni,Public,49.46
21,DENSO,Public,48.75
22,Tokio Marine Holdings,Public,48.30
23,Sumitomo Corporation,Public,47.12
24,SoftBank Group,Public,46.10
25,Mitsubishi UFJ Financial Group,Public,44.40
26,MS&AD Insurance Group,Public,44.03
27,KDDI,Public,39.25
28,Meiji Yasuda Life Insurance,Private,36.88
29,Suzuki Motor,Public,36.60
30,Mitsubishi Electric,Public,35.81
31,Daiwa House Industry,Public,35.43
32,JFE Holdings,Public,35.29
33,Sumitomo Life Insurance,Private,34.00
34,Sumitomo Mitsui Financial Group,Public,33.64
35,Aisin,Public,33.51
36,Sompo Holdings,Public,32.96
37,Mazda Motor,Public,32.92
38,Subaru,Public,32.11
39,Mitsubishi Heavy Industries,Public,31.73
40,Sumitomo Electric Industries,Public,30.03
41,Takeda Pharmaceutical,Public,29.97
42,Daikin Industries,Public,29.96
43,Mitsubishi Chemical Group,Public,29.92
44,NTT Data Group,Public,29.77
45,Bridgestone,Public,29.19
46,Canon,Public,28.89
47,Kansai Electric Power,Public,27.64
48,Asahi Mutual Life Insurance,Private,26.51
49,Sekisui House,Public,26.36
50,Komatsu,Public,26.35
51,Rest of covered universe,Mixed,2323.38
